I_ref,100um
0.9250260000596354,0.9162480501577562
0.8957058584174632,0.8872609506611815
0.2122148828249843,0.21031635355761583
0.0390230049511902,0.038601904187516835
0.3046004084249049,0.3020233652473533
1.0751834646435692,1.0648411783871468
1.1218921813304956,1.1114372140754956
0.2332029187609511,0.2310863634345581
0.0054771743027177,0.005417316853396929
0.186823991763811,0.18526598863548302
0.7603187823263591,0.7528948763527689
1.110129539748682,1.0998062647665625
0.3434565386756891,0.3403464997659141
0.0318253320372306,0.03156707533022327
0.1524193801745322,0.15111351258514277
0.8367862939922499,0.8287385761784952
1.1891335103357226,1.1782334860914123
0.3071079874417082,0.3041071296544136
0.0318645185151219,0.031525798773326105
0.1830881701202898,0.18146131472627228
0.8039351835967895,0.7964667116171917
1.194494571057101,1.1834383098144794
0.3199826228695776,0.31685324509318
0.0050193679770496,0.004921358572827956
0.1074191467408547,0.10640992904511044
0.9379412910588146,0.9291415821354327
1.0206408758365628,1.0114490392312874
0.4025002262039532,0.3984537223657217
0.0185305876441028,0.018404402481915785
0.09497435738289,0.09400847831235605
0.9765137932139052,0.9675091419319046
1.0461111101298262,1.036702650691065
0.3703266371360763,0.366454609421525
0.0178682019482447,0.01766228939057587
0.1106231648365021,0.10953982557050987
0.9714423007989342,0.962548160501952
1.0253743063029672,1.0162361840344516
0.3722419490790816,0.3682799227746665
0.0044649767049365,0.004384736856329572
0.086430603283641,0.08569057028192473
0.9772646015706696,0.9682169443855604
1.0193626359785388,1.010386063050309
0.4072803246105379,0.40280096314289365
0.0075801576096109,0.007545823082455053
0.090714624421428,0.08988149532761847
0.9863546519853114,0.977060880709291
1.028008558263709,1.0192658133049861
0.3854541439605395,0.38100507941045403
0.0070536721333146,0.007029145782747412
0.0970026949727086,0.0961956258314391
0.9851384209164926,0.9757455696783148
1.0251917070777277,1.0166695551537148
0.377616032464465,0.3731358833168111
0.0040665788504292,0.0040529464173975046
0.1000162090092338,0.09903284739130261
1.0038395473904702,0.9944513531374898
1.0132289026129562,1.0049982152829555
0.3746345721949822,0.36992539427086013
0.003997850739889,0.004019006299124673
0.107892333399001,0.10676307481171218
1.0071675319349134,0.9978645639418451
1.0140960901386498,1.0060701206095193
0.3618604660447723,0.3569380731048822
0.0040090649881351,0.004017600768993126
0.1132934978135747,0.11207002040678261
1.0116954976086747,1.0024351716494038
1.0184667843610642,1.0107867454977617
0.3478445956303167,0.34280986861257856
0.0038729231392817,0.0038678789472976847
0.1163988261575559,0.11475273435738678
1.0195746778622587,1.0110172226406424
1.0207838212098528,1.0130942348480219
0.3316482285988571,0.3262836058480292
0.0051214104832894,0.0050853602088858
0.1209971835241268,0.11971358509328732
1.024243105304326,1.0148999631823896
1.0234434733992008,1.0173166371488254
0.3218444650179595,0.3151814511265081
0.0053848102099288,0.005297105893500948
0.1302034624362421,0.12932210098765126
1.0290626361791897,1.0190968439733035
1.026241382043549,1.0217868231765965
0.3059050817439837,0.2982944486965062
0.0037699371692919,0.003731417761650024
0.1274028439500082,0.1273153340284399
1.0335523142516871,1.0236689910946801
1.033863218570591,1.0301688180789936
0.293687131972814,0.2842365878235764
0.0058402976825953,0.005771003773062884
0.1322246697660421,0.13443989567149386
1.043035264748827,1.0283830199849882
1.0332352899415456,1.0353168160778035
0.2820500590496384,0.26811989664034785
0.0059627177465675,0.005925994201134144
0.1449712242019392,0.15058870487981196
1.0365226399689615,1.0208916916984279
1.0405314193082524,1.0411936243213074
0.2673437769221046,0.2469702435838409
0.0038048968335363,0.00388510153083435
0.1457307302325287,0.16509564690036047
1.0506565149434757,1.0666816344246974
1.0343381924437716,1.0135006262619821
0.2598129138402222,0.22643395352319523
0.0048531798880467,0.004965226840208461
0.1561012017166119,0.17566698594320343
1.0495414814367978,1.0503714328653029
1.0391085666021151,1.0215140969112138
0.2461440996027805,0.2209011395690846
0.0048161077127428,0.004787279196411175
0.1704441897497765,0.18758106048603793
1.0473703420737337,1.0335172231510215
1.0382202720127438,1.0326002794702918
0.2335886641782169,0.21380384447499107
0.0039507609327626,0.003901612229504472
0.1799367646602774,0.19416589408770563
1.0468849732326426,1.0325886028466522
1.0399289709815,1.0304142811102996
0.2239359702639898,0.20954309096223347
0.0041948799102169,0.004165017980952894
0.1945246061642398,0.2075440731232208
1.0426790660127694,1.0271796911955624
1.0426853262737867,1.0322193432327098
0.2108924247048944,0.19998482226297412
0.0042086346591408,0.004177797085058192
0.2097207583246121,0.22073925779458453
1.0374066745583923,1.0213977139585062
1.0446005392792963,1.0330989169709555
0.199370653990358,0.19233122405989472
0.0041179026054423,0.0040855287403956
0.2218489774731283,0.23032630998079326
1.031998203187164,1.0170628399990185
1.049860077266186,1.0366943399273663
0.1854289998040389,0.18123294044072072
0.0048907570172713,0.004862984484630833
0.2355348922311385,0.24216001026984146
1.0325907601927655,1.017974352327088
1.0468821401718005,1.0341596270423812
0.1750877504989613,0.17192178441607556
0.0050245507661261,0.005043490187746299
0.2510161985561925,0.25561910431783547
1.0293971053670474,1.015193016132729
1.0471424152651851,1.0341432915270952
0.1634494133259682,0.16224305639287986
0.0041754591287647,0.00417900115798571
0.2601163730077747,0.2619466074490893
1.0323009087660229,1.0185621548534582
1.0447953618753203,1.0330244711042884
0.1493781468482359,0.14920906674982767
0.0054795735875592,0.005480526185622185
0.2709399834217157,0.270692414695343
1.030868921550003,1.0180545341268548
1.0483569128699386,1.0369295113478794
0.1417977491782224,0.1423721098362986
0.0055677205628861,0.005586798702055934
0.2860280266240822,0.283675921983573
1.026560511791901,1.0144503876807038
1.0442656233511949,1.0331817925410665
0.1309504877175825,0.13266011883713597
0.0040953160366934,0.004105616234459647
0.2948366581866236,0.2903596955666989
1.0289906505961277,1.0178846886715096
1.0472011828086176,1.036735618789404
0.1208533282014194,0.12304728948691356
0.0048547545024244,0.0048664783745235125
0.3056488136255808,0.2997090622739307
1.0282342958834845,1.0173778221098808
1.0422615932540342,1.0320946014625823
0.1150881110991108,0.11818806515468394
0.0048084330882758,0.004809814222962335
0.3200848405119928,0.31219243645529593
1.021108054459244,1.0108991283097415
1.0407053809304134,1.030930170296421
0.1074241594514433,0.11144448419584796
0.0040120227176276,0.003995034199183828
0.3333294851650639,0.32336516300238854
1.0201520237824842,1.0097107194458625
1.0362167945448089,1.0281289461391658
0.101656205585301,0.10636808668136409
0.0042839782910897,0.004253838113934542
0.3457574592187032,0.3323880645345198
1.0166808724032874,1.0069296567697164
1.0319608858652325,1.025278290289602
0.0967819640261936,0.10289160880093337
0.0042776225432186,0.004220101929956805
0.360661043083732,0.34308399151608987
